brand,stars,reviewsCount,Category,price/value
Samsung,4.6,3.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,57499.0
Sony,4.4,36.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,43519.0
Mivi,4.3,38729.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,799.0
JBL,3.3,34.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,5499.0
ARZOPA,4.4,4903.0,Computers & Accessories › Monitors,18100.0
Sony,4.4,22571.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",7394.0
Srhythm,4.2,1049.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",9498.0
Itel,3.7,358.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,5999.0
soundcore,4.6,7.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,6999.0
boAt,3.9,4197.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",3999.0
Acer,3.7,12.0,Computers & Accessories › Laptops › Traditional Laptops,41990.0
NINKI,4.1,30.0,"Computers & Accessories › Accessories & Peripherals › Tablet Accessories › Bags,Cases & Sleeves › Cases",7039.0
CULTSPORT,4.2,1874.0,Electronics › Wearable Technology › Smart Watches,3499.0
ZEBRONICS,3.9,2091.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1999.0
IKALL,3.9,6.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,9799.0
Sony,4.5,11103.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",26990.0
Audio-Technica,4.4,839.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",7790.0
LS LAPSTER Quality Assured,3.6,4888.0,Electronics › Wearable Technology › Arm & Wristband Accessories › Cables,149.0
SHOKZ,4.2,275.0,"Electronics › Headphones, Earbuds & Accessories › Headphones",13499.0
JBL,4.5,318.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,25999.0
boAt,3.4,167.0,Electronics › Home Audio › Speakers › Soundbar Speakers,7499.0
boAt,3.9,193.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,1999.0
ASUS,4.1,61.0,Computers & Accessories › Laptops › Traditional Laptops,86990.0
JBL,4.4,21286.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,13999.0
CredevZone,4.1,38.0,Toys & Games › Electronic Toys › Handheld Games,28047.0
Crownton,3.9,11.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",8399.0
LOPAZ,4.1,9.0,Electronics › Wearable Technology › Smart Watches,749.0
amazon basics,4.2,1386.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",399.0
BoAt,4.0,30716.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › In-Ear",329.0
Harman Kardon,4.1,38.0,Electronics › Home Audio › Speakers,23999.0
EvoFox,3.9,355.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,2633.0
SYVO,3.8,1963.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,449.0
GSH,3.1,4.0,Computers & Accessories › Accessories & Peripherals › PC Gaming Peripherals › Gamepads,5499.0
Cmple,4.3,82.0,"Electronics › Mobiles & Accessories › Mobile Accessories › Maintenance, Upkeep & Repairs › Screen Protectors",27998.0
2&CO,3.0,6.0,Electronics › Mobiles & Accessories › Smartphones & Basic Mobiles › Smartphones,39800.0
ASUS,4.2,1038.0,Computers & Accessories › Laptops › Traditional Laptops,49900.0
Lenovo,4.4,9.0,Computers & Accessories › Laptops › Traditional Laptops,64190.0
Enfogo,5.0,1.0,Toys & Games › Electronic Toys › Plug & Play Video Games,1995.0
AGPTEK,4.2,37256.0,Electronics › Wearable Technology › Smart Watches,8388.0
Skullcandy,4.0,5856.0,"Electronics › Headphones, Earbuds & Accessories › Headphones › Over-Ear",7499.0
Portronics,4.0,6274.0,Electronics › Home Audio › Speakers › Bluetooth Speakers,899.0
Kodak,4.1,12208.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",9499.0
ViewSonic,4.5,1285.0,Computers & Accessories › Monitors,18999.0
Honeywell,4.5,2120.0,"Electronics › Home Theater, TV & Video › Accessories › Cables › HDMI Cables",16599.0
Amazon basics,3.8,3265.0,Electronics › Home Audio › Speakers › Soundbar Speakers,899.0
MOUJI,4.7,4.0,"Electronics › Laptops, Tablets & Cameras › Tablets",32669.0
Nintendo,4.3,105.0,Video Games › Nintendo Switch › Consoles,18997.0
ASUS,3.2,5.0,Video Games › Handheld Game Systems › ROG Ally › Consoles,59990.0
HYUNDAI,4.1,41.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",9999.0
Marshall,4.3,64.0,Electronics › Home Audio › Speakers › Multimedia Speaker Systems,59999.0
TCL,4.0,863.0,"Electronics › Home Theater, TV & Video › Televisions › Smart Televisions",28990.0
